(349 12215 1117 517 446.7461752960517 442.0290468900326 442.02904318468467 447.34632234365927 error 448.63347654578746 error 448.0793688642268 error error error error -49941.26873841583 -49941.268768485104 -49941.2674742146 -49396.69022024718 error -48715.4400440268 error -49044.52394599319 error error error error 128.05869880215937 128.05869880215937 128.0587070721513 131.32232800466204 error 134.63915003062286 error 133.04169069729753 error error error error error error error error error error error error error error error error 88.73292342661526 0.0007448054255695026 7.544700663538425e-14 1.0942429321723102e-13 error 1.2077083424104233e-13 error 1.323175333305022e-13 error error error error 1011.3217336936941 0.008973302420593188 1.0449974219284286e-12 1.3706813462022183e-12 error 1.5718537582642966e-12 error 1.6686652060116103e-12 error error error error , Any[], Any[])
(349 12215 1117 517 446.9536379468053 442.02928462818915 442.0292296759773 447.29911269122556 error 449.6633795105598 error 447.9394239315001 error error error error -49941.26873850224 -49941.26894708282 -49941.26679736183 -49533.965242331906 error -48691.79791474121 error -49165.44123513597 error error error error 128.0586980510013 128.0586980510013 128.05870484464833 130.3794599383551 error 134.7398388941129 error 132.29935398937096 error error error error error error error error error error error error error error error error 93.03635748826524 0.007411260752796818 1.0397884704364827e-13 1.2858970967514324e-13 error 1.400649201332773e-13 error 1.339295309590658e-13 error error error error 1068.8099504476997 0.0975999358677318 1.0502154701441668e-12 1.48991929904696e-12 error 1.6657786261475849e-12 error 1.5920598173124745e-12 error error error error , Any[], Any[])
(349 12215 1117 1205 461.66810179275603 456.99845912135555 456.99845774447203 462.10980420144125 error 463.0633700064217 error 463.2765269640342 error error error error -61870.48689944306 -61870.48686124832 -61870.48638504731 -61427.015544688256 error -60856.81646604355 error -61018.585379694174 error error error error 179.23658969452381 179.23658969452381 179.23659143312082 181.15322627258863 error 183.14831347272693 error 182.66952771917474 error error error error error error error error error error error error error error error error 77.22184500855901 0.0008823785306539589 1.5169335974283979e-13 1.8651786464482793e-13 error 1.8972058102480985e-13 error 1.9017689409682178e-13 error error error error 919.1846371338547 0.008701748970276313 1.2114753644709708e-12 1.5412116027846423e-12 error 1.5731860258938468e-12 error 1.6500134591979077e-12 error error error error , Any[], Any[])
(349 12215 1117 1205 461.5326915169519 456.9984820415996 456.9984837624052 461.7164373936155 error 463.7300940884464 error 462.257554035672 error error error error -61870.48689952508 -61870.48610840099 -61870.48114292418 -61341.16351907076 error -60682.726460229416 error -61045.94705877885 error error error error 179.2365913905433 179.2365913905433 179.2366111090835 181.47533003535932 error 183.84518526286928 error 182.52500763334422 error error error error error error error error error error error error error error error error 85.52822722699823 0.006314556906891902 7.566477396808566e-14 9.805903061502618e-14 error 1.0852939734134092e-13 error 1.0832386369646196e-13 error error error error 980.7829385469066 0.08633291867494286 9.823253321883385e-13 1.3213874439088613e-12 error 1.4883649868124849e-12 error 1.4719336860480325e-12 error error error error , Any[], Any[])
(349 12215 1117 3701 506.8446025958256 504.11582113709284 504.1158185024357 506.6336157234311 504.11581220223087 508.24253547073664 504.11582242430393 507.47343362744294 error error error error -111473.5761024365 -111473.57618906003 -111473.57325389914 -110953.8867110381 -111473.57610204862 -110683.90435918517 -111473.57610225663 -110950.84790879652 error error error error 324.7338606208412 324.7338606208412 324.73386680766686 326.00610963028925 324.7338609470238 326.391310637616 324.7338606099868 325.84747018969995 error error error error error error error error error error error error error error error error 67.40010189856419 0.0012473429862454488 7.939243584931286e-14 1.0883946155170226e-13 8.477430674405301e-14 1.2222582378628528e-13 9.542526744179191e-14 1.1068561641388538e-13 error error error error 659.7653152417795 0.008637836808818578 1.0150769114147806e-12 1.3780088181647443e-12 1.0834666497316903e-12 1.496580637194711e-12 1.2277956429329606e-12 1.4304113449270517e-12 error error error error , Any[], Any[])
(349 12215 1117 3701 507.11080693049615 504.11594980853494 504.11583515620504 506.46996913311176 504.11595135925876 509.1416261266908 504.11591199766724 508.0265748429457 error error error error -111473.57610253492 -111473.57768489265 -111473.53790414319 -110579.8922369452 -111473.57608084661 -110198.41875167655 -111473.57608571071 -110624.25739113688 error error error error 324.73385945608504 324.73385945608504 324.73395791883587 326.95462789116056 324.7338639342522 327.3889350517679 324.73386146013456 326.59118475290677 error error error error error error error error error error error error error error error error 88.14533665464029 0.006985921810770274 1.793051087256629e-13 1.7224622730998435e-13 1.82363653778564e-13 1.9933744463609471e-13 1.890602566739763e-13 1.8442405202865944e-13 error error error error 886.2483284232433 0.08854568365541304 1.247890679678676e-12 1.4770407119613083e-12 1.4264145420384011e-12 1.7852386235972517e-12 1.3575807145116414e-12 1.659117287999834e-12 error error error error , Any[], Any[])
(349 12215 1117 4949 531.5320171428754 528.8384988336534 528.8384844032831 531.1519321921035 528.8385100960968 532.5754346776263 528.8385067442199 531.6612799614057 error error error error -136853.1315019816 -136853.13159312803 -136853.12582952908 -136103.0301210953 -136853.13150170454 -135822.57167451375 -136853.13150178222 -136118.35664648606 error error error error 369.6739716489849 369.6739716489849 369.6739830203758 371.232687864074 369.67397150858193 371.67102096645965 369.67397157364127 371.15737057179336 error error error error error error error error error error error error error error error error 70.25181861221256 0.0007485338689693938 1.754015088836814e-13 1.7374050344776262e-13 1.8793450073924376e-13 1.6525191427412293e-13 1.8403068543798582e-13 1.7603754534260472e-13 error error error error 699.6493944821004 0.007805323671243258 1.2386203174230559e-12 1.4548362514688051e-12 1.4269141423994824e-12 1.6981971384666394e-12 1.4615531007677873e-12 1.695532603207539e-12 error error error error , Any[], Any[])
(349 12215 1117 4949 531.5317271022687 528.8386538447592 528.8385317933315 530.9095622703276 528.8386828328121 532.7268898486318 528.8387264999121 532.121501971016 error error error error -136853.131502062 -136853.12999766826 -136853.0858655787 -136046.60269162196 -136853.1314906023 -135881.48354873937 -136853.1314926943 -136206.61645702942 error error error error 369.6739734500236 369.6739734500236 369.6740608408854 371.39355989768654 369.6739669546949 371.4233942270371 369.673967706796 370.85342945025366 error error error error error error error error error error error error error error error error 69.92706829313556 0.005753150537851019 9.180074290861038e-14 1.1688639753599403e-13 1.1687548270254162e-13 1.4675720646554421e-13 1.0029517862325586e-13 1.2600243877988268e-13 error error error error 704.7154687923669 0.0708376623988678 1.1506351427215122e-12 1.410649375088724e-12 1.3761214390228815e-12 1.8407497748285095e-12 1.2984058272991206e-12 1.5876189252139739e-12 error error error error , Any[], Any[])
(349 12215 2316 517 474.1976499854161 436.00213581078765 436.0021354721832 477.90797897902837 436.00213550528775 482.7211738209549 436.00213506283416 479.2180557749402 error error error error -43627.682728003834 -43627.68273639198 -43627.68268518966 -40731.138424298966 -43627.68272777824 -38812.64539667066 -43627.682727770436 -40017.79078671728 error error error error 110.03066924710765 110.03066924710765 110.03066952215038 128.3199149094753 110.03066927157225 137.2437417437348 110.03066925359084 130.90602283032788 error error error error error error error error error error error error error error error error 318.6554870401558 0.0002576214494336176 1.234245477407679e-13 1.8080485588711033e-13 1.2972660312445338e-13 2.0928054453000593e-13 1.3101163269630074e-13 2.3365982825236884e-13 error error error error 4350.167471424648 0.0018939030291333925 1.0953460360951794e-12 2.2928325904558733e-12 1.1586287484988134e-12 2.744471316873387e-12 1.0796918914479647e-12 2.717159830467608e-12 error error error error , Any[], Any[])
(349 12215 2316 517 473.45389310419006 436.00238293613927 436.0023574374056 476.8677180271661 error 480.6580036099464 error 479.29465976443925 error error error error -43627.68272934329 -43627.683313836365 -43627.68072805565 -40628.317541903954 error -39580.820243910275 error -40024.79359930691 error error error error 110.03066780794025 110.03066780794025 110.03068323103095 129.20188909360954 error 133.20073532911096 error 130.66400342564955 error error error error error error error error error error error error error error error error 303.90343802663483 0.01477446179219161 1.068212262914482e-13 1.6624276564913575e-13 error 1.8244028469007805e-13 error 1.7008457305005328e-13 error error error error 4081.5720702692197 0.10981145787349766 1.0433875985427221e-12 2.3177015862074768e-12 error 2.4062973835725643e-12 error 2.4489299477181703e-12 error error error error , Any[], Any[])
(349 12215 2316 1205 484.34572957040695 458.4374191601357 458.43742091336355 486.7620372656475 error 489.75730334296884 error 488.0519621804831 error error error error -57190.63343375627 -57190.63341851686 -57190.63209225971 -54311.42865501367 error -54327.88712375107 error -54531.874758929276 error error error error 175.85204816090996 175.85204816090996 175.85205166836147 187.70787421601858 error 186.33848965455138 error 185.94291843129758 error error error error error error error error error error error error error error error error 263.27350189656335 0.0007776495264443934 1.2562472784781867e-13 2.378399356853567e-13 error 2.2827178949477666e-13 error 2.449030196922981e-13 error error error error 3371.5477169306196 0.00417529974325298 1.147359984798868e-12 2.3248070135650778e-12 error 2.255529096828468e-12 error 2.4362734052374435e-12 error error error error , Any[], Any[])
